country_id,unit_type,count,zone_id,notes
columbia,ground,4,col_main_1,Continental main - ICBM silos Pentagon
columbia,ground,2,col_main_2,Continental east - Atlantic seaboard
columbia,ground,2,col_nw,Alaska/Pacific northwest
columbia,ground,2,col_main_3,Hawaii/Pacific command equivalent
columbia,ground,2,teutonia_1,Main European base (Ramstein)
columbia,ground,1,yamato_2,Main Pacific base (Okinawa)
columbia,ground,1,hanguk,Korea deterrence
columbia,ground,1,freeland,NATO forward deployment
columbia,ground,1,solaria_1,Gulf logistics - Persia war support
columbia,ground,1,horn,Djibouti - Red Sea security
columbia,ground,4,persia_2,ME theater - active war zone (Operation Epic Fury)
columbia,ground,1,mirage,Gulf logistics hub
columbia,tactical_air,5,col_main_1,Continental strike capability
columbia,tactical_air,2,col_main_3,Pacific air command
columbia,tactical_air,2,teutonia_1,European air power
columbia,tactical_air,1,yamato_2,Pacific base air
columbia,tactical_air,3,persia_2,ME theater air campaign
columbia,tactical_air,1,hanguk,Korea air deterrence
columbia,tactical_air,1,col_nw,Alaska air defense
columbia,strategic_missile,8,col_main_1,ICBM silos + bomber fleet
columbia,strategic_missile,1,col_nw,Alaska strategic
columbia,strategic_missile,3,col_main_2,SSBNs at sea
columbia,air_defense,2,col_main_1,Homeland THAAD/Patriot
columbia,air_defense,1,col_main_3,Hawaii defense
columbia,air_defense,1,yamato_2,Pacific base defense
cathay,ground,5,cathay_3,Central mainland - Beijing region
cathay,ground,5,cathay_2,Western interior
cathay,ground,4,cathay_6,Southeast - Taiwan Strait staging
cathay,ground,4,cathay_5,Southern coastal
cathay,ground,2,cathay_4,Northeast - Choson border security
cathay,ground,3,cathay_7,South China coastal
cathay,ground,2,choson,Choson border quick reaction force
cathay,tactical_air,5,cathay_3,Central aviation + strategic reserve
cathay,tactical_air,5,cathay_6,Coastal DF-21/DF-26 carrier killers + tactical aviation
cathay,tactical_air,2,cathay_2,Western interior air
cathay,strategic_missile,2,cathay_3,Silo-based ICBMs
cathay,strategic_missile,1,cathay_2,Mobile DF-41 launchers
cathay,strategic_missile,1,cathay_7,SSBNs - South China Sea bastion
cathay,air_defense,1,cathay_3,Central defense
cathay,air_defense,1,cathay_6,Coastal defense
cathay,air_defense,1,cathay_2,Western defense
nordostan,ground,2,nord_c1,Moscow/central strategic reserve
nordostan,ground,2,nord_e2,Far East/Cathay border defense
nordostan,ground,1,nord_w2,Caucasus/southern flank
nordostan,tactical_air,2,nord_c1,Strategic aviation homeland defense
nordostan,tactical_air,1,nord_w2,Southern air defense/strike
nordostan,tactical_air,1,nord_e2,Far East air defense
nordostan,strategic_missile,7,nord_c1,ICBM silos mobile launchers strategic bombers
nordostan,strategic_missile,2,nord_e2,Mobile launchers Pacific SSBN patrols
nordostan,strategic_missile,3,nord_n1,SSBNs Northern Fleet bastion
nordostan,air_defense,1,nord_c1,Moscow strategic defense
nordostan,air_defense,1,nord_w2,Southern/Caucasus defense
persia,ground,2,persia_2,IRGC ground forces + Gulf Gate coastal defense batteries
persia,ground,2,persia_1,Nuclear facility defense
persia,ground,2,persia_3,Strategic depth ballistic missile guards
persia,ground,1,phrygia_2,Iraq corridor - militia support/border security
persia,tactical_air,2,persia_2,Coastal anti-ship missiles Shahed drones
persia,tactical_air,2,persia_1,Medium-range ballistic missiles air defense support
persia,tactical_air,1,persia_3,Long-range ballistic missiles strategic reserve
persia,tactical_air,1,cp_gulf_gate,Anti-ship missile batteries on fortified islands
persia,air_defense,1,persia_1,S-300/S-400 protecting nuclear sites - ONLY air defense unit
gallia,ground,4,gallia_1,Metropolitan France
gallia,ground,1,horn,Djibouti overseas
gallia,ground,1,levantia,Near ME deployment
gallia,tactical_air,3,gallia_1,Metropolitan Rafale
gallia,tactical_air,1,horn,Overseas air
gallia,strategic_missile,2,gallia_1,SSBNs + air-launched cruise missiles
gallia,air_defense,1,gallia_1,SAMP/T homeland
teutonia,ground,6,teutonia_1,Bundeswehr all homeland
teutonia,tactical_air,3,teutonia_1,Eurofighter Typhoons
teutonia,air_defense,1,teutonia_1,Patriot systems
freeland,ground,5,freeland,All homeland defense
freeland,tactical_air,2,freeland,F-35 and FA-50
freeland,air_defense,1,freeland,Patriot from Columbia
ponte,ground,4,ponte,Homeland
ponte,tactical_air,2,ponte,Eurofighter/F-35
albion,ground,3,albion,British Isles homeland
albion,ground,1,levantia,Cyprus/Gibraltar overseas
albion,tactical_air,2,albion,RAF homeland
albion,tactical_air,1,levantia,Overseas RAF
albion,strategic_missile,2,albion,Trident SSBNs - continuous at-sea deterrent
albion,air_defense,1,albion,Sky Sabre homeland
bharata,ground,10,bharata_2,Bulk on Cathay border and internal
bharata,ground,2,bharata_1,Indian Ocean / Andaman & Nicobar
bharata,tactical_air,4,bharata_2,Mixed fleet Su-30MKI Rafale Tejas
bharata,air_defense,2,bharata_2,S-400 from Nordostan + domestic
levantia,ground,3,levantia,Homeland + West Bank
levantia,ground,2,phrygia_2,Lebanon theater
levantia,ground,1,levantia,Persia-facing reserves
levantia,tactical_air,2,levantia,F-35I homeland
levantia,tactical_air,2,persia_2,Persia strike operations
levantia,air_defense,3,levantia,Iron Dome David's Sling Arrow - densest in world
formosa,ground,4,formosa,All homeland - porcupine strategy
formosa,tactical_air,3,formosa,F-16V fleet anti-ship missiles
formosa,air_defense,2,formosa,Patriot PAC-3 Tien Kung
phrygia,ground,4,phrygia_1,Homeland + Syrian border
phrygia,ground,1,phrygia_2,Syria deployment
phrygia,ground,1,phrygia_2,Strait defense
phrygia,tactical_air,3,phrygia_1,F-16 fleet Bayraktar drones
phrygia,air_defense,1,phrygia_1,S-400 from Nordostan
yamato,ground,3,yamato_2,Self-Defense Forces homeland
yamato,tactical_air,3,yamato_2,F-35 fleet Type-12 standoff missiles
yamato,air_defense,2,yamato_2,Aegis BMD PAC-3
solaria,ground,3,solaria_2,Homeland oil infrastructure defense
solaria,tactical_air,3,solaria_2,F-15s Typhoons air defense of oil facilities
solaria,air_defense,2,solaria_2,Patriot batteries - tested vs Persian missiles
choson,ground,6,choson,Homeland DMZ fortifications
choson,tactical_air,2,choson,Ballistic missile force Hwasong series
choson,strategic_missile,1,choson,Nuclear-tipped ICBMs
choson,air_defense,1,choson,Antiquated layered defense
hanguk,ground,5,hanguk,All DMZ defense
hanguk,tactical_air,3,hanguk,F-35 F-15K KF-21
hanguk,air_defense,2,hanguk,Patriot + THAAD
caribe,ground,2,caribe,Cuba homeland
caribe,ground,1,caribe,Venezuela
caribe,tactical_air,1,caribe,Antiquated Soviet-era aircraft
mirage,ground,2,mirage,Homeland professional force
mirage,tactical_air,2,mirage,F-16s Mirage 2000s drones
mirage,air_defense,2,mirage,THAAD Patriot IRIS-T
albion,naval,2,"w(7,3)",Atlantic/home waters
nordostan,naval,2,nord_w2,Northern Fleet (Arctic/submarine)
gallia,naval,1,"w(9,6)",Mediterranean/carrier group
bharata,naval,2,"w(13,9)",Indian Ocean fleet
yamato,naval,2,"w(19,4)",Pacific home waters
phrygia,naval,1,phrygia_1,Bosphorus/Med
nordostan,ground,8,heartland_2,Front line offensive forces (theater rows 4-6)
nordostan,ground,5,heartland_1,Occupation/rear security forces (theater rows 3-4)
nordostan,tactical_air,4,heartland_2,"Front-line aviation, glide bombs, drones"
nordostan,air_defense,1,heartland_2,Theater air defense covering front
choson,ground,2,heartland_2,Deployed to support Nordostan offensive
heartland,ground,7,heartland_2,"Front line defense (theater rows 5-7, Die Hard zone)"
heartland,ground,3,heartland_1,"Strategic reserve, capital defense, western logistics"
heartland,tactical_air,2,heartland_2,"Front-line air support, drones, HIMARS"
heartland,tactical_air,1,heartland_1,Air defense/strike reserve
heartland,air_defense,1,heartland_1,Patriot/NASAMS protecting capital and infrastructure
columbia,naval,3,"w(12,8)",Gulf — 2 CSGs for Operation Epic Fury
columbia,naval,2,"w(9,6)",Mediterranean — Persia war support + Suez
columbia,naval,2,"w(17,4)",East Cathay Sea — Formosa deterrence patrol
columbia,naval,1,col_main_2,Atlantic home port
columbia,naval,1,col_main_3,Pacific home port
columbia,naval,1,"w(13,9)",Indian Ocean presence
cathay,naval,2,"w(16,7)",South Cathay Sea — Formosa southern approach
cathay,naval,2,"w(17,4)",East Cathay Sea — Formosa northern approach
cathay,naval,1,"w(18,6)",Near Formosa — eastern patrol
cathay,naval,1,cathay_7,Home port — Hainan
persia,ground,1,cp_gulf_gate,Ground forces maintaining Gulf Gate blockade — coastal missile batteries
